event_id,source_id,page_reference,quote
7406,640361,https://www.wikidata.org/wiki/Q28414730,
7407,640529,https://www.wikidata.org/wiki/Q28433160,
7408,640593,https://www.wikidata.org/wiki/Q28454110,
7409,640595,https://www.wikidata.org/wiki/Q28455928,
7410,640596,https://www.wikidata.org/wiki/Q28456360,
7411,641192,https://www.wikidata.org/wiki/Q28497147,
7413,642707,https://www.wikidata.org/wiki/Q28667119,
7414,642740,https://www.wikidata.org/wiki/Q28671351,
7415,643619,https://www.wikidata.org/wiki/Q28706709,
7416,643948,https://www.wikidata.org/wiki/Q28717509,
7417,643950,https://www.wikidata.org/wiki/Q28717530,
7418,644058,https://www.wikidata.org/wiki/Q28721162,
7420,644066,https://www.wikidata.org/wiki/Q28721487,
7424,649239,https://www.wikidata.org/wiki/Q29026260,
7425,649722,https://www.wikidata.org/wiki/Q29075488,
7426,649724,https://www.wikidata.org/wiki/Q29075492,
7427,649730,https://www.wikidata.org/wiki/Q29075810,
7428,650608,https://www.wikidata.org/wiki/Q29286145,
7429,652923,https://www.wikidata.org/wiki/Q29556328,
7430,654137,https://www.wikidata.org/wiki/Q29856861,
7431,657450,https://www.wikidata.org/wiki/Q30104918,
7432,659321,https://www.wikidata.org/wiki/Q30304278,
7433,659368,https://www.wikidata.org/wiki/Q30309411,
7434,661603,https://www.wikidata.org/wiki/Q30595518,
7435,661870,https://www.wikidata.org/wiki/Q30608727,
7436,662307,https://www.wikidata.org/wiki/Q30672268,
7438,664145,https://www.wikidata.org/wiki/Q31075389,
7439,664635,https://www.wikidata.org/wiki/Q31185937,
7440,665283,https://www.wikidata.org/wiki/Q31284708,
7441,665496,https://www.wikidata.org/wiki/Q31316485,
7442,665792,https://www.wikidata.org/wiki/Q31355749,
7443,675783,https://www.wikidata.org/wiki/Q31665447,
7444,682663,https://www.wikidata.org/wiki/Q31837633,
7445,683196,https://www.wikidata.org/wiki/Q31886836,
7446,683269,https://www.wikidata.org/wiki/Q31892345,
7447,683470,https://www.wikidata.org/wiki/Q31895738,
7448,694908,https://www.wikidata.org/wiki/Q33039195,
7526,884576,https://www.wikidata.org/wiki/Q60034638,
7449,706942,https://www.wikidata.org/wiki/Q35583796,
7450,716333,https://www.wikidata.org/wiki/Q38201360,
7451,718280,https://www.wikidata.org/wiki/Q39081010,
7452,718494,https://www.wikidata.org/wiki/Q39090934,
7453,721593,https://www.wikidata.org/wiki/Q41074192,
7454,726049,https://www.wikidata.org/wiki/Q42306419,
7455,726050,https://www.wikidata.org/wiki/Q42306428,
7456,726552,https://www.wikidata.org/wiki/Q42326778,
7457,726906,https://www.wikidata.org/wiki/Q42377873,
7458,728364,https://www.wikidata.org/wiki/Q42410622,
7462,772803,https://www.wikidata.org/wiki/Q46097570,
7463,777268,https://www.wikidata.org/wiki/Q47364182,
7464,777715,https://www.wikidata.org/wiki/Q47452670,
7465,778210,https://www.wikidata.org/wiki/Q47467317,
7466,779032,https://www.wikidata.org/wiki/Q47499937,
7468,781672,https://www.wikidata.org/wiki/Q48150708,
7469,781985,https://www.wikidata.org/wiki/Q48316856,
7470,782748,https://www.wikidata.org/wiki/Q48699050,
7471,782819,https://www.wikidata.org/wiki/Q48724057,
7472,782961,https://www.wikidata.org/wiki/Q48749324,
7473,783238,https://www.wikidata.org/wiki/Q48779654,
7474,783256,https://www.wikidata.org/wiki/Q48781319,
7475,783326,https://www.wikidata.org/wiki/Q48798497,
7477,783435,https://www.wikidata.org/wiki/Q48805227,
