event_id,location_id,role
6582,1417413,location
6583,2614423,location
6584,844166,location
6586,832632,location
28399,1415687,location
6603,663782,location
28400,2621506,location
6623,1714959,location
28405,2313955,location
6658,2610913,location
6672,818398,location
28415,832451,location
28417,2012989,location
28419,1116862,location
6681,2620280,location
28425,1131802,location
28425,2030335,location
28435,526615,location
6700,1117189,location
6704,1714912,location
6707,2013226,location
6709,818407,location
6710,2054497,location
6711,1441754,location
6713,2019168,location
6719,1311101,location
6720,830165,location
6722,2615149,location
6724,2312856,location
6726,2610779,location
6727,2610779,location
6730,1128510,location
6736,1718214,location
6739,857269,location
6742,1780850,location
6744,1415998,location
6746,1720913,location
6748,520960,location
6750,2013558,location
28438,1715716,location
6768,1417978,location
6797,1720181,location
6804,525102,location
6807,1458129,location
6824,2313010,location
6868,1757495,location
28463,1415438,location
6900,2012931,location
6903,2025537,location
6904,834496,location
6907,1715372,location
6912,1415647,location
6928,1026496,location
28470,1163470,location
6936,2340283,location
6944,1728588,location
6961,567904,location
6969,1133491,location
6986,1122213,location
6989,842137,location
6991,1119035,location
6993,1472462,location
6995,520932,location
7006,527073,location
7012,2615217,location
7014,1134413,location
7017,2322562,location
7022,1715681,location
7023,2312049,location
7024,566439,location
28481,2291999,location
7026,519930,location
7037,2313614,location
7045,1416345,location
7050,520927,location
7051,2631371,location
7059,2012941,location
7059,1415438,location
7060,818386,location
7065,1714942,location
7074,520046,location
7076,1120848,location
7087,1120023,location
28491,1715072,location
7090,818396,location
7094,1463410,location
7103,2610799,location
7107,2311997,location
7111,823690,location
7112,2311975,location
28496,2012973,location
7127,1415437,location
28498,818694,location
7131,2013240,location
28502,2016970,location
7142,2359821,location
28506,1716901,location
7162,1122363,location
7165,1717165,location
7182,2610846,location
7188,1415872,location
7194,2016332,location
28513,2012922,location
7196,829348,location
7200,1117799,location
28515,2611330,location
7205,1416679,location
7224,2013561,location
28521,828301,location
7226,1421634,location
7272,818994,location
7282,545056,location
7305,2610782,location
7305,519914,location
7307,1130118,location
7318,1416387,location
7320,1715600,location
7333,523792,location
28533,1434211,location
7346,825796,location
7349,545056,location
7357,2013011,location
7363,2312224,location
7366,2013778,location
7383,1416962,location
7389,1416767,location
7390,1119408,location
7395,2611373,location
7397,1715869,location
7398,1416961,location
7401,818386,location
7403,2013240,location
7412,1325850,location
7419,1416422,location
28558,2013862,location
7422,535713,location
28563,2019791,location
7437,2013397,location
28570,1767182,location
28571,545056,location
28574,823592,location
28574,1116840,location
7467,2013561,location
28576,572581,location
7476,1125118,location
28579,2610827,location
7496,2331411,location
7498,2012978,location
7506,2013561,location
7507,2021872,location
7510,1456072,location
7515,2617876,location
7536,2312944,location
7539,529419,location
7541,2611015,location
7543,2012972,location
7547,2013226,location
28589,2611807,location
28593,1715845,location
7572,1714945,location
28600,2612894,location
7600,2012921,location
28608,2342339,location
7612,833851,location
7614,1117672,location
7618,1121981,location
7626,1415637,location
28613,818399,location
7656,2012967,location
7659,1721680,location
7663,1117791,location
7673,1117604,location
28626,818390,location
7676,818422,location
28628,1415499,location
28630,519914,location
7681,1715511,location
28631,2012940,location
28640,1715845,location
7693,520599,location
7695,1118220,location
7711,2610808,location
28654,1415676,location
7724,819346,location
7725,828470,location
28661,2611809,location
7747,1117594,location
7751,822284,location
7758,2611026,location
28665,1132284,location
28666,831485,location
7765,2017858,location
7776,2610802,location
7777,842823,location
7786,2312661,location
7804,871718,location
28688,2165244,location
28697,1733488,location
7816,521433,location
7816,519914,location
7828,1417241,location
28701,819425,location
7838,536856,location
7838,519914,location
28706,1736051,location
7846,1416838,location
7847,1415482,location
28709,1996056,location
7861,1117310,location
28717,534563,location
7882,1119520,location
7887,2312021,location
7927,1117761,location
28727,519914,location
28736,519914,location
7972,2013226,location
28740,524834,location
28744,1118347,location
28754,519919,location
8107,1416471,location
8109,2012939,location
28776,2016418,location
8112,2620520,location
8118,2313049,location
28783,819104,location
8128,1415470,location
28787,2013509,location
8134,2321704,location
8135,2649726,location
8137,2613401,location
8142,2322657,location
8147,2019542,location
8156,2313105,location
8161,519999,location
8164,2615038,location
8166,1123604,location
8168,520991,location
8172,819285,location
8177,818650,location
8179,2618581,location
8183,2012920,location
8187,2042048,location
8190,2313347,location
8193,520207,location
8202,2610779,location
8212,2314198,location
8213,2051305,location
8216,2013136,location
8221,2311975,location
8223,520972,location
8229,819436,location
8230,527433,location
8236,2747202,location
8240,1415485,location
8251,1416391,location
8252,519914,location
8256,2018221,location
8258,2313634,location
8259,1117527,location
8265,2013313,location
8267,520168,location
8268,2022313,location
8271,1116861,location
8275,1742116,location
8276,1422400,location
8281,2013921,location
8282,823514,location
8284,1415716,location
8285,2312444,location
8289,1418149,location
8290,1116869,location
8293,837263,location
8294,1117879,location
8316,2326205,location
8318,2611847,location
8319,2313546,location
8327,1415676,location
8327,2013207,location
8328,2610802,location
28833,1416421,location
8331,1117420,location
8335,2012921,location
8347,820029,location
8348,823355,location
8354,2312218,location
8355,1122869,location
8356,1117036,location
8360,521626,location
8361,2313003,location
8364,819236,location
8366,2090110,location
8368,2312901,location
8370,818650,location
8371,523572,location
28840,1419810,location
28841,2314141,location
8379,2313224,location
8382,2611738,location
8385,1415472,location
8388,818387,location
8389,1119228,location
8394,2610892,location
8396,1428700,location
8400,2610779,location
8401,1117491,location
8402,2610782,location
8403,520344,location
8410,521618,location
8416,818916,location
8418,2312024,location
8422,2610779,location
8424,819496,location
8426,819472,location
8428,1416391,location
8435,2610775,location
8445,2312207,location
8448,1116893,location
8449,2013397,location
8451,2874172,location
28858,2610772,location
8456,2313111,location
8458,1715889,location
8459,1422480,location
8459,574878,location
28860,2321829,location
8464,2015621,location
8465,823705,location
8470,2314329,location
8474,1723979,location
8475,1116851,location
8476,564806,location
8481,524451,location
8488,1720169,location
8491,1117197,location
8497,2027190,location
8498,1715241,location
8504,1415529,location
8507,1121291,location
8513,1715259,location
8514,520117,location
8518,1131466,location
8521,885727,location
8526,1421065,location
8530,1126420,location
8533,1117799,location
8535,1415436,location
8536,1417944,location
8543,1416504,location
8544,821652,location
8556,1116962,location
8557,1123543,location
8562,859410,location
8570,524372,location
8572,2316861,location
8575,2312002,location
8584,2610790,location
8585,1116840,location
8588,1415436,location
8590,2311975,location
8594,1744672,location
8603,1116880,location
8604,2031893,location
28895,2611475,location
8607,1475548,location
8609,1720829,location
8614,822102,location
8615,1417034,location
28896,2648550,location
8620,1191940,location
8622,1415470,location
8624,1726721,location
8626,594824,location
8627,2616417,location
8634,2013860,location
8636,1117531,location
8666,2018746,location
8671,2013538,location
8672,1128273,location
8675,2615165,location
8676,1722398,location
8677,2313443,location
8682,1117761,location
8688,1118229,location
8690,2057687,location
8693,818832,location
8695,520046,location
8697,1722294,location
28909,820649,location
8699,2022554,location
8703,2016352,location
8704,2066871,location
8707,818416,location
8713,524916,location
8716,825273,location
8721,1457889,location
8725,1117047,location
8726,1716234,location
8727,2315469,location
28913,519917,location
