id,event_a_id,event_b_id,direction,layer_type,layer_entity_id,connection_type,strength_score,source_count,time_distance,manual_strength,manual_reason,verification_status,verified_by,verified_at,curated_status,curated_by,curated_at,curation_note,created_at,updated_at
33393,11055,11085,forward,person,6805642,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33403,8290,16785,forward,person,6815336,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33407,15708,24305,forward,person,6815823,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33408,19604,24305,forward,person,6815823,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33511,12821,16757,forward,person,6822393,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33512,12821,19626,forward,person,6822393,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33517,8116,14041,forward,person,6823596,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33558,10006,18668,forward,person,6824641,related,14.745041995892464,4,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33563,20140,27401,forward,person,6825598,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33565,5284,25286,forward,person,6827922,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33566,7035,18901,forward,person,6827944,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33584,8995,17650,forward,person,6829882,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33585,8995,22458,forward,person,6829882,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33586,17650,22458,forward,person,6829882,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33588,8505,11382,forward,person,6830757,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33603,18474,23374,forward,person,6834185,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33610,22742,23270,forward,person,6835161,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33611,5303,6090,forward,person,6835408,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33624,12826,19604,forward,person,6835571,related,27.987766836944974,6,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33629,6585,6698,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33630,6585,11120,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33631,6585,14551,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33632,6585,17229,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33633,6585,19589,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33634,6585,22838,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33635,6585,23782,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33636,6698,11120,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33637,6698,14551,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33638,6698,17229,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33640,6698,22838,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33641,6698,23782,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33642,11120,14551,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33643,11120,17229,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33645,11120,22838,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33646,11120,23782,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33647,14551,17229,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33648,14551,19589,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33649,14551,22838,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33650,14551,23782,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33651,17229,19589,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33652,17229,22838,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33653,17229,23782,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33655,19589,23782,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33656,22838,23782,forward,person,6836426,related,43.23126394971642,8,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33685,22493,23325,forward,person,6842706,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33697,5201,17578,forward,person,6846877,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33702,6967,11288,forward,person,6848437,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33716,19879,24109,forward,person,6849432,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33734,16008,19626,forward,person,6855503,related,4.406279716687705,2,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33747,9448,10455,forward,person,6856977,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33748,9448,27498,forward,person,6856977,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33749,10455,27498,forward,person,6856977,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33767,5202,19684,forward,person,6862977,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33833,5229,22645,forward,person,6887453,related,9.120519413787456,3,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33852,5476,8214,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33854,5476,12443,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33855,5476,17246,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33857,5476,22551,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33858,5476,26640,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33860,6611,8214,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33862,6611,12443,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33863,6611,17246,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33864,6611,20252,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33865,6611,22551,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33866,6611,26640,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33868,8214,11038,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33869,8214,12443,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
33870,8214,17246,forward,person,6897857,related,60.017931623955675,10,,,,unverified,,,,,,,2026-02-13 20:23:45.728558,2026-02-13 20:23:45.728558
