event_id,person_id,role,description
16785,1627451,conflict,
25286,1627473,conflict,
16742,1627496,conflict,
16742,1627520,conflict,
25286,1627604,conflict,
25286,1627624,conflict,
25286,1627633,conflict,
8119,1627633,conflict,
25286,1627639,conflict,
8119,1627639,conflict,
5982,1627652,conflict,
17318,1627662,conflict,
16742,1627694,conflict,
25280,1627704,conflict,
16742,1627784,conflict,
19588,1628047,conflict,
25286,1628051,conflict,
23328,1628082,conflict,
16785,1628121,conflict,
25286,1628154,conflict,
25286,1628157,conflict,
25286,1628188,conflict,
8119,1628188,conflict,
25286,1628258,conflict,
25286,1628290,conflict,
11237,1628402,conflict,
13835,1628418,conflict,
16755,1628484,conflict,
25286,1628524,conflict,
20137,1628599,conflict,
25286,1628723,conflict,
18901,1628771,significant_event,
19588,1628841,conflict,
25286,1628871,conflict,
16742,1628906,conflict,
16742,1629000,conflict,
16785,1629015,participant_in,
16742,1629028,conflict,
16785,1629028,conflict,
6771,1629119,participant_in,
19596,1629152,conflict,
23871,1629152,conflict,
25280,1629152,conflict,
5195,1629152,conflict,
16755,1629175,conflict,
16755,1629235,conflict,
23871,1629235,conflict,
25280,1629235,conflict,
22540,1629235,conflict,
25511,1629235,conflict,
13873,1629235,conflict,
16764,1629235,conflict,
13930,1629235,conflict,
13630,1629339,conflict,
22493,1629339,conflict,
19677,1629426,conflict,
25800,1629426,conflict,
22503,1629426,conflict,
19589,1629433,conflict,
16741,1629433,conflict,
16764,1629460,conflict,
11289,1629481,conflict,
14201,1629481,conflict,
14202,1629481,conflict,
22635,1629481,conflict,
19633,1629589,conflict,
16740,1629814,conflict,
25286,1629988,conflict,
25286,1629991,conflict,
13908,1630005,conflict,
8106,1630029,conflict,
25286,1630069,conflict,
11043,1630069,conflict,
8119,1630069,conflict,
19589,1630078,conflict,
5689,1630078,conflict,
8114,1630097,conflict,
19617,1630097,conflict,
8386,1630097,conflict,
22478,1630097,conflict,
11056,1630097,conflict,
19849,1630097,conflict,
16785,1630097,conflict,
16771,1630097,conflict,
25301,1630201,conflict,
11237,1630240,conflict,
19589,1630240,conflict,
19588,1630278,conflict,
17059,1630278,conflict,
20008,1630278,conflict,
13969,1630278,conflict,
19589,1630357,conflict,
25276,1630361,conflict,
11019,1630361,conflict,
15708,1630431,conflict,
12826,1630431,conflict,
8124,1630442,conflict,
8130,1630442,conflict,
25303,1630498,conflict,
16785,1630498,conflict,
11126,1630502,conflict,
22461,1630510,conflict,
16755,1630555,conflict,
13835,1630588,conflict,
11294,1630669,participant_in,
7035,1630684,participant_in,
5270,1630686,conflict,
